item_code,item_description,main_category,sub_category,confidence,reasoning
NDIMD1,iTBOX MD-1 Note detector (Old Stock),"IT, Retail & POS",Bank Note Detector,0.95,"The product description clearly indicates that it is a device used to detect banknotes, which falls under the 'Bank Note Detector' subcategory within the 'IT, Retail & POS' main category."
S40UVND1,SAFESCAN 40 UV Note Detector,"IT, Retail & POS",Bank Note Detector,0.95,"The product description clearly indicates a device for detecting banknotes, specifically using UV light, which falls under the Bank Note Detector subcategory within the IT, Retail & POS main category."
NDIUDSTAR,iTBOX UD-STAR NOTE DETECTOR,"IT, Retail & POS",Bank Note Detector,0.95,"The product description clearly indicates that it is a device used for detecting banknotes, which falls under the 'Bank Note Detector' subcategory within the 'IT, Retail & POS' main category."
MD4UNDYZ,iTBOX MD-4 UV NOTE DETECTOR,"IT, Retail & POS",Bank Note Detector,0.95,"The product description clearly indicates that it is a UV note detector, which falls under the category of bank note detectors used in retail and POS environments."
BCSCCS200PLUSUSB,CODE SOFT CS-200 PLUS BARCODE SCANNER (USB) c/w Stand,"IT, Retail & POS",Barcode Scanner,0.95,"The product is explicitly described as a barcode scanner, which falls under the IT, Retail & POS category."
BCPA2140,ARGOX CP-2140 BARCODE PRINTER,"IT, Retail & POS",Barcode Scanner,0.95,"The product is a barcode printer, which falls under the category of barcode scanning equipment used in retail and other industries."
SBS1DWWL,iTBOX BS-1DW Barcode Scanner (Wireless),"IT, Retail & POS",Barcode Scanner,0.95,"The product is a wireless barcode scanner, which falls under the IT, Retail & POS main category and Barcode Scanner subcategory."
BCPCE4E,CODE SOFT EASYBAR 4e DESKTOP BARCODE PRINTER,"IT, Retail & POS",Barcode Scanner,0.95,"The product is a desktop barcode printer, which falls under the Barcode Scanner subcategory within the IT, Retail & POS main category."
PDACC601,CODE SOFT C60 Mobile Computer PDA,"IT, Retail & POS",Barcode Scanner,0.95,"Mobile Computer PDA is used for scanning barcodes and collecting data, which falls under the Barcode Scanner subcategory within IT, Retail & POS."
BCPCT4PS,CODE SOFT T4+ DESKTOP BARCODE PRINTER,"IT, Retail & POS",Barcode Scanner,0.95,A barcode printer is used in retail and POS systems to generate barcodes for scanning.
BS2DWQRC,iTBOX BS-2DW (QR code) Barcode Scanner (Wireless),"IT, Retail & POS",Barcode Scanner,0.95,"The product is a barcode scanner, which falls under the IT, Retail & POS category."
X2140BCP,ARGOX CX-2140 BARCODE PRINTER,"IT, Retail & POS",Barcode Scanner,0.95,"Barcode printers are used for printing barcodes, which are then scanned, thus falling under the Barcode Scanner subcategory within IT, Retail & POS."
BCSCS800PLUSUSB,CODE SOFT CS-800 PLUS BARCODE SCANNER,"IT, Retail & POS",Barcode Scanner,0.95,"The product description clearly indicates that it is a barcode scanner, which falls under the IT, Retail & POS category."
CSBS1D18,iTBOX BS-1D Barcode Scanner (Wired),"IT, Retail & POS",Barcode Scanner,0.95,"The product is a wired barcode scanner, which falls under the IT, Retail & POS category and is specifically a barcode scanner."
SC1000LR,CODE SOFT CS-1000LR Plus BARCODE SCANNER (USB),"IT, Retail & POS",Barcode Scanner,0.95,"The product is explicitly described as a barcode scanner, which falls under the IT, Retail & POS category."
BCSC3290,CODE SOFT CS‐3290 2D Wireless Handheld Laser Scanner,"IT, Retail & POS",Barcode Scanner,0.95,"The product description clearly indicates a 2D wireless handheld laser scanner, which falls under the Barcode Scanner subcategory within the IT, Retail & POS main category."
CSCS6600,CODE SOFT CS-6600 BARCODE SCANNER (RS-232),"IT, Retail & POS",Barcode Scanner,0.95,"The product is explicitly described as a barcode scanner, which falls under the IT, Retail & POS category."
SBS2DQRC,iTBOX BS-2D (QR code) Barcode Scanner (Wired),"IT, Retail & POS",Barcode Scanner,0.95,"The product is a wired barcode scanner, which falls under the IT, Retail & POS main category and Barcode Scanner subcategory."
BCSCS800,CODE SOFT CS-800 BARCODE SCANNER (USB),"IT, Retail & POS",Barcode Scanner,0.95,"The product is explicitly described as a barcode scanner, which falls under the IT, Retail & POS category."
BIC200A,iTBOX C200A BINDING MACHINE,Office Equipment,Binding Machine,0.95,"The product description clearly indicates a binding machine, which falls under office equipment."
BRECOS360,RENZ ECO-S 360 BINDING MACHINE (Wire-O Ring) 2:1,Office Equipment,Binding Machine,0.95,The product is explicitly described as a 'BINDING MACHINE' and the description does not indicate it is a consumable or accessory.
BFORION500,FELLOWES ORION 500 BINDING MACHINE (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is a binding machine itself, not supplies for it, and falls under office equipment."
BFGALAXY500,FELLOWES GALAXY 500 BINDING MACHINE (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is a binding machine itself, not supplies for it, and falls under office equipment."
BIKARO40,GBC WIREBIND KARO 40PRO BINDING MACHINE (Wire-O Ring),Office Equipment,Binding Machine,0.95,"The product description clearly indicates a wire binding machine, fitting the 'Binding Machine' sub-category."
BIS980,iTBOX S980 BINDING MACHINE,Office Equipment,Binding Machine,0.95,"The product description clearly indicates that it is a binding machine itself, not a supply or accessory."
BFQUASAR500,FELLOWES QUASAR 500 BINDING MACHINE (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is a binding machine itself, not supplies for it, and falls under office equipment."
BGES8088,GEOMASTER ES8088 Electric Binding Machine,Office Equipment,Binding Machine,0.95,"The product is an electric binding machine, which falls under the Binding Machine subcategory and Office Equipment main category."
BFQUASARWIRE,FELLOWES QUASAR WIRE (Wire-O) BINDING MACHINE,Office Equipment,Binding Machine,0.95,"The product is a wire binding machine, which falls under the Binding Machine subcategory and Office Equipment main category."
BFGALAXYE500,FELLOWES GALAXY E 500 (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is a plastic comb binding machine, which falls under the Binding Machine subcategory within Office Equipment."
FBMOE500,FELLOWES ORION - E 500 BINDING MACHINE,Office Equipment,Binding Machine,0.95,"The product description clearly indicates a binding machine, which falls under office equipment."
BGCB2003,GBC CombBind 200 BINDING MACHINE (Plastic Comb),Office Equipment,Binding Machine,0.95,"The product is explicitly described as a 'BINDING MACHINE' and uses plastic combs, fitting the subcategory description."
BFSP1501,FELLOWES Star + 150 BINDING MACHINE (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is explicitly described as a 'BINDING MACHINE' and uses plastic combs, fitting the subcategory description."
BGIM24,GBC IBIMASTER 24 BINDING MACHINE (Comb & Ibiwire),Office Equipment,Binding Machine,0.95,"The product description clearly indicates a binding machine, fitting directly into the 'Binding Machine' subcategory."
BGCC800P,GBC C800 PRO ELECTRIC BINDING MACHINE (Plastic Comb),Office Equipment,Binding Machine,0.95,"The product is an electric binding machine, specifically a plastic comb binding machine, which falls under the Binding Machine subcategory."
BFPP3001,FELLOWES Pulsar + 300 BINDING MACHINE (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is a binding machine itself, specifically for plastic comb binding."
BIC12,iTBOX C-12 BINDING MACHINE,Office Equipment,Binding Machine,0.95,"The product description explicitly states 'BINDING MACHINE', indicating it is the machine itself."
BFPULSARE300,FELLOWES PULSAR - E 300 ELECTRONIC BINDING MACHINE (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is an electronic binding machine, specifically for plastic comb binding, which falls under the Binding Machine subcategory."
BGBC210E,GBC CombBind C210e BINDING MACHINE (Plastic Comb),Office Equipment,Binding Machine,0.95,"The product is a GBC CombBind C210e BINDING MACHINE, which is explicitly a binding machine."
RCPEBMPC,RENZ COMBI-COMFORTPLUS ELECTRONIC BINDING MACHINE (Plastic Comb),Office Equipment,Binding Machine,0.95,"The product is an electronic binding machine specifically for plastic combs, fitting the 'Binding Machine' subcategory."
CC2EECBM,HIC TCC-2100E Electronic Comb Binding Machine,Office Equipment,Binding Machine,0.95,"The product is an electronic comb binding machine, which falls under the Binding Machine subcategory and Office Equipment main category."
BFGALAXYEWIRE,FELLOWES GALAXY E WIRE BINDING MACHINE (Wire-O),Office Equipment,Binding Machine,0.95,"The product is a wire binding machine, which falls under the Binding Machine subcategory and Office Equipment main category."
BFQUASARE500,FELLOWES QUASAR E 500 ELECTRONIC BINDING MACHINE (PLASTIC COMB),Office Equipment,Binding Machine,0.95,"The product is described as an electronic binding machine, specifically a plastic comb binding machine, which falls under the Binding Machine subcategory."
BGBCC150PRO,GBC C150 PRO BINDING MACHINE (Plastic Comb),Office Equipment,Binding Machine,0.95,"The product is a GBC C150 PRO BINDING MACHINE, which is explicitly a binding machine itself, not a supply for one."
BGBCCB80,GBC CombBind 80 BINDING MACHINE (Plastic Comb),Office Equipment,Binding Machine,0.95,"The product is a GBC CombBind 80 BINDING MACHINE, which is explicitly a binding machine."
BI118,iTBOX 118 BINDING MACHINE,Office Equipment,Binding Machine,0.95,"The product description clearly indicates a binding machine, which falls under office equipment."
EB30ECBM,VALUESCAN EB 30 Electronic Comb Binding Machine,Office Equipment,Binding Machine,0.95,"The product is an electronic comb binding machine, which falls under the Binding Machine subcategory and Office Equipment main category."
22010101,CENTRIX IHW65MS AHD IR Weatherproof Camera,Security & Access Control,CCTV,0.95,"The product is described as an AHD IR Weatherproof Camera, which falls under the category of CCTV surveillance equipment."
BSMS190,BABY SIREN DC 12V MS190,Security & Access Control,CCTV,0.85,"A siren is typically used as an audible alarm in security systems, often integrated with CCTV systems."
S2713MDC,CENTRIX D55MS-2713M DOME CAMERA,Security & Access Control,CCTV,0.95,A dome camera is a type of CCTV camera used for surveillance and security.
CD55ML28,CENTRIX D55ML-28 FIXED DOME CAMERA,Security & Access Control,CCTV,0.95,"The product description clearly indicates a fixed dome camera, which falls under the CCTV (Closed-Circuit Television) category for security surveillance."
SVCCCTVW,"Onsite CCTV RG-59 Wiring, Piping & Configuration (1 Floor)",Security & Access Control,CCTV,0.95,"CCTV wiring, piping, and configuration directly relates to the installation and setup of a CCTV system, which falls under Security & Access Control."
CCW50001,LTE BY CENTRIX W500 5MP IR WATERPROOF CAMERA,Security & Access Control,CCTV,0.95,"The product is described as a waterproof camera with IR, indicating it's a CCTV camera for surveillance."
CCD500V2,LTE BY CENTRIX D500-V2 5MP IR DOME CAMERA,Security & Access Control,CCTV,0.95,"The product is described as a 5MP IR Dome Camera, which falls under the category of CCTV surveillance equipment."
DVR5108N,CENTRIX EVR5108N NRT 8CH DVR,Security & Access Control,CCTV,0.95,"A DVR (Digital Video Recorder) with 8 channels is primarily used for recording video from CCTV cameras, making it a security and access control device."
CD55WL28,CENTRIX D55WL-28 FIXED DOME CAMERA,Security & Access Control,CCTV,0.95,"The product description clearly indicates a fixed dome camera, which falls under the CCTV (Closed-Circuit Television) category for security surveillance."
CW55ML40,CENTRIX W55ML-40 IR WEATHERPROOF CAMERA,Security & Access Control,CCTV,0.95,"The product description clearly indicates an IR weatherproof camera, which falls under the CCTV subcategory within Security & Access Control."
CCTVD200,CENTRIX D200 IR DOME CAMERA,Security & Access Control,CCTV,0.95,"The product description clearly indicates an IR dome camera, which falls under the CCTV (Closed-Circuit Television) category for security surveillance."
IHW135MS,CENTRIX IHW135MS Infra Red AHD Weatherproof Camera,Security & Access Control,CCTV,0.95,"The product is described as an infrared AHD weatherproof camera, which falls under the category of CCTV security equipment."
HVR5432M,CENTRIX HVR5432M 32 CHANNEL HYBRID VIDEO RECORDER,Security & Access Control,CCTV,0.95,A hybrid video recorder with 32 channels is primarily used for CCTV surveillance systems.
HVR51041,CENTRIX HVR5104 HYBRID 4CH DVR,Security & Access Control,CCTV,0.95,A 4CH DVR (Digital Video Recorder) is a core component of a CCTV (Closed-Circuit Television) system used for security surveillance.
CCIHW120,CENTRIX IHW120 Infra Red Weatherproof Camera,Security & Access Control,CCTV,0.95,"The product is an infrared weatherproof camera, which falls under the category of CCTV security equipment."
CCW200IR,CENTRIX W200 INFRA RED WEATHERPROOF CAMERA,Security & Access Control,CCTV,0.95,"The product is described as an infra-red weatherproof camera, which falls under the category of CCTV surveillance equipment."
CHVR5108,CENTRIX HVR5108 8CH DVR,Security & Access Control,CCTV,0.95,A DVR (Digital Video Recorder) is a core component of a CCTV (Closed-Circuit Television) system used for security surveillance.
CIHD65MS,CENTRIX IHD65MS Infra Red AHD Dome Camera,Security & Access Control,CCTV,0.95,"The product is described as an Infra Red AHD Dome Camera, which falls under the category of CCTV security equipment."
HVR5216M,CENTRIX HVR5216M AHD 16CH DVR,Security & Access Control,CCTV,0.95,AHD 16CH DVR (Digital Video Recorder) is a type of CCTV equipment used for recording video surveillance footage.
EVR5216N,LTE BY CENTRIX EVR5216N 16 CHANNEL H.265 5MN NRT DVR,Security & Access Control,CCTV,0.95,"The product is a 16 channel DVR, which is a core component of a CCTV system for video recording and surveillance."
R168CRMB,ASHICA ECR-168 CASH REGISTER MACHINE (Black),"IT, Retail & POS",Cash Register Machine,0.95,"The product description explicitly states 'CASH REGISTER MACHINE', which falls under the IT, Retail & POS main category and the Cash Register Machine subcategory."
CRSXEA307,SHARP XE-A307 CASH REGISTER MACHINE,"IT, Retail & POS",Cash Register Machine,0.95,"The product is explicitly described as a cash register machine, which falls under the IT, Retail & POS category."
CRSA217B,SHARP XE-A217B CASH REGISTER MACHINE,"IT, Retail & POS",Cash Register Machine,0.95,"The product description explicitly states 'CASH REGISTER MACHINE', which falls under the IT, Retail & POS main category."
CDCSEC410RS232USB,CODE SOFT EC-410 CASH DRAWER (RS-232 / USB),"IT, Retail & POS",Cash Register Machine,0.95,A cash drawer is a component of a cash register system used in retail and point-of-sale environments.
OCM802SD,OLYMPIA CM802SD CASH REGISTER MACHINE,"IT, Retail & POS",Cash Register Machine,0.95,"The product description clearly indicates a cash register machine, which falls under the IT, Retail & POS category."
CDCSEC410RJ11,CODE SOFT EC-410 CASH DRAWER (RJ-11),"IT, Retail & POS",Cash Register Machine,0.95,A cash drawer is a component of a cash register system used in retail and point-of-sale environments.
CRSXEA207,SHARP XE-A207 CASH REGISTER MACHINE,"IT, Retail & POS",Cash Register Machine,0.95,"The product description clearly indicates a cash register machine, which falls under the IT, Retail & POS category."
RSECR138,SHARP ECR-138 CASH REGISTER MACHINE (Black),"IT, Retail & POS",Cash Register Machine,0.95,"The product is explicitly described as a cash register machine, which falls under the IT, Retail & POS category."
RSXEA137,SHARP XE-A137 CASH REGISTER MACHINE (Black),"IT, Retail & POS",Cash Register Machine,0.95,"The product is explicitly described as a cash register machine, which falls under the IT, Retail & POS category."
ECR1KCRM,ASHICA AC-ECR1000 CASH REGISTER MACHINE,"IT, Retail & POS",Cash Register Machine,0.95,"The product description explicitly states 'CASH REGISTER MACHINE', which falls under the IT, Retail & POS main category and the Cash Register Machine subcategory."
CDCSEC460,CODE SOFT EC-460 CASH DRAWER (Flip Top),"IT, Retail & POS",Cash Register Machine,0.95,A cash drawer is a component of a cash register system used in retail and point-of-sale environments.
CWIICHEQUE5,iTBOX iCheque5 CHEQUE WRITER MACHINE,Office Equipment,Cheque Writer Machine,0.95,"The product description explicitly states 'CHEQUE WRITER MACHINE', which falls under Office Equipment."
CWUEC110,UMEI EC110 CHEQUE WRITER MACHINE,Office Equipment,Cheque Writer Machine,0.95,"The product description clearly indicates a cheque writer machine, which falls under office equipment."
WUEC100S,UMEI EC-100 CHEQUE WRITER MACHINE,Office Equipment,Cheque Writer Machine,0.95,"The product is a machine specifically designed for writing cheques, fitting the 'Cheque Writer Machine' subcategory and 'Office Equipment' main category."
CWSEASY,EASY CHEQUE WRITING SOFTWARE,"IT, Retail & POS",Cheque Writer Machine,0.95,"Cheque writing software directly relates to the function of a cheque writer machine, falling under the IT, Retail & POS category."
CWTEC110,TIMI EC110 CHEQUE WRITER MACHINE,Office Equipment,Cheque Writer Machine,0.95,"The product is a machine specifically designed for writing cheques, which falls under office equipment."
CWKEC10,KAZUMI EC-10 CHEQUE WRITER MACHINE,Office Equipment,Cheque Writer Machine,0.95,"The product is a cheque writer machine, which falls under the Office Equipment category."
CWIMCEC310,iTBOX MCEC310 CHEQUE WRITER MACHINE,Office Equipment,Cheque Writer Machine,0.95,"The product description clearly indicates a cheque writer machine, which falls under office equipment."
CWMEC30A,MAX EC30A CHEQUE WRTIER MACHINE,Office Equipment,Cheque Writer Machine,0.95,"The product is a cheque writer machine, which falls under the Office Equipment category."
CSIIZCOIN,iTBOX iZ-COIN COIN SORTER MACHINE,"IT, Retail & POS",Coin Counter Machine,0.95,"The product is a machine specifically designed for sorting coins, which falls under retail and point-of-sale equipment."
CS890CSM,iTBOX TCS-890 COIN SORTER MACHINE,"IT, Retail & POS",Coin Counter Machine,0.95,"The product is a coin sorter machine, which falls under the category of retail and POS equipment used for handling cash."
CCUUCM20,UMEI UCM-20 COIN COUNTER MACHINE,"IT, Retail & POS",Coin Counter Machine,0.95,"The product is a coin counter machine, which falls under the IT, Retail & POS category for handling cash transactions."
CCWSTCM2,WS-TECH CM2 COIN COUNTER MACHINE,"IT, Retail & POS",Coin Counter Machine,0.95,"The product is a machine specifically designed for counting coins, which falls under retail and point-of-sale operations."
DS2DKDSP,KOCOM DS-2D Standalone Outdoor Speaker Phone Unit,Security & Access Control,Door Access System,0.95,"The product is a standalone outdoor speaker phone unit, which is typically used as part of a door access system."
FPDAIFAR300B,iTBOX FAR-300B Fingerprint Door Access Reader,Security & Access Control,Door Access System,0.95,"The product description clearly indicates a fingerprint-based door access reader, which falls under door access systems."
0WFTACDA,TimeTera SD360W Fingerprint Time Attendance c/w Door Access (Wifi),Security & Access Control,Door Access System,0.95,"The product description explicitly mentions both fingerprint time attendance and door access functionality, with door access being the more prominent feature."
DPKIP611,KOCOM KIP-611PG 11-Way Interphone,Security & Access Control,Door Access System,0.95,"An interphone system is used for access control, allowing communication and potentially remote door unlocking."
RDFBRD01,FALCON BRD 01 BOOK ROOM DOOR,Security & Access Control,Door Access System,0.95,"The product description indicates a door for a room, suggesting a door access control system."
SPCPSB20,CENTRIX PSB12-20A 12VDC 20A Power Supply Box,Security & Access Control,Door Access System,0.85,"A power supply box is commonly used to power door access control systems, providing the necessary voltage and current."
CTRFIDTB,EM RFID ID Keyfob Tag (Blue) (125KHz),Security & Access Control,Door Access System,0.95,RFID keyfobs are commonly used for door access control systems.
MC0.9MM1K,Mango FM11RF08 0.9mm Mifare (IC) Contactless Smart Card 13.56MHz (DMC001),Security & Access Control,Door Access System,0.95,"The product is a contactless smart card used for access control, fitting under the Door Access System subcategory within Security & Access Control."
71805100,iTBOX ZM-600 RFID PROXIMITY STATION POINT (Black),Security & Access Control,Door Access System,0.95,RFID proximity station points are commonly used for door access control systems.
DBBDDB00312V,BELCO DDB003 DC12V Door Bell,Security & Access Control,Door Access System,0.95,"A doorbell is a component of a door access system, providing a means of signaling someone inside to grant entry."
SSX1210A,CENTRIX PSX12-10A 12VDC 10A Switching Power supply box,Security & Access Control,Door Access System,0.85,"A power supply box is often used to power door access control systems, making it a component of that security category."
FEWDA001,Accessories FingerTec EM600 EM Lock (Electromagnetic) 600lbs WDA001,Security & Access Control,Door Access System,0.95,"The product is an accessory for an electromagnetic lock, which is a component of a door access system."
RFIDSPBZM680,ZM-680 RFID PROXIMITY STATION POINT (BULLET POINT),Security & Access Control,Door Access System,0.95,"RFID proximity station points are used for door access control, making it a door access system."
CESES301,Accessories Fingertec ES 3 Contactless Exit Sensor,Security & Access Control,Door Access System,0.95,"The product is an exit sensor, which is a component of a door access system."
FTADTX01,FingerTec AdapTec-X 12V Power Supply,Security & Access Control,Door Access System,0.85,"A power supply for a FingerTec device, likely used in door access systems, falls under security and access control."
BL,L Bracket LS-600,Security & Access Control,Door Access System,0.85,An L bracket is commonly used for mounting door access control components like readers or locks.
EBG,Emergency Break Glass DBG005,Security & Access Control,Door Access System,0.95,"An emergency break glass is a component of a door access system, allowing for manual override in emergencies."
FPDIFAR100DG,iTBOX FAR-100DG Fingerprint Door Access Reader,Security & Access Control,Door Access System,0.95,"The product description clearly indicates a fingerprint-based door access reader, which falls under door access systems."
DS4MKDSP,KOCOM DS-4M Standalone Outdoor Speaker Phone Unit,Security & Access Control,Door Access System,0.95,"The product is a standalone outdoor speaker phone unit, which is typically used as part of a door access system for communication and entry control."
EBGB,Emergency Break Glass (Blue),Security & Access Control,Door Access System,0.95,"Emergency break glass is a component of a door access system, allowing for emergency egress."
BU,U Bracket U1-600,Security & Access Control,Door Access System,0.85,A U bracket is commonly used as a mounting component for door access control systems.
BZL600,ZL Bracket ZL-600,Security & Access Control,Door Access System,0.95,A ZL bracket is a common component used in door access control systems to mount electric strikes or magnetic locks.
TTASD360,TimeTera SD360 Fingerprint Time Attendance c/w Door Access,Security & Access Control,Door Access System,0.95,"The product description explicitly mentions both 'Fingerprint Time Attendance' and 'Door Access', but since it includes door access, it is more accurately classified as a door access system."
FPDIFAR100OR,iTBOX FAR-100OR Fingerprint Door Access Reader,Security & Access Control,Door Access System,0.95,"The product description clearly indicates a fingerprint-based door access reader, which falls under door access systems."
KSDKS003,"3"" x 3"" STAINLESS STEEL OVERRIDING KEY SWITCH DKS003",Security & Access Control,Door Access System,0.95,A key switch for overriding a door access system is directly related to security and access control.
SLRS3512,Switching Power Supply 12VDC 3Amp (LRS-35-12),Security & Access Control,Door Access System,0.8,A 12VDC 3Amp switching power supply is commonly used to power door access control systems.
FPDAIFAR300W,iTBOX FAR-300W Fingerprint Door Access Reader,Security & Access Control,Door Access System,0.95,"The product description clearly indicates a fingerprint-based door access reader, which falls under door access systems."
FRFIDT01,FingerTec RFID TAG,Security & Access Control,Door Access System,0.95,RFID tags are commonly used as a component of door access systems for identification and authorization.
FTACSEEP,Accessories FINGERTEC Enclosure ENCLOSURE PLUS,Security & Access Control,Door Access System,0.85,"The product description mentions 'FINGERTEC Enclosure ENCLOSURE PLUS', which suggests an accessory related to a fingerprint-based door access system."
IFT90DWB,Accessories iTBOX iFaceTec 90 Degree Wall Bracket,Security & Access Control,Door Access System,0.85,"The product is an accessory (wall bracket) for the iFaceTec, which is likely a face recognition door access system."
EPB3X3,"Exit Push Button 3"" x 3"" DPB001",Security & Access Control,Door Access System,0.95,An exit push button is a component of a door access control system.
FCRKADEX,FINGERTEC KADEX Card Reader Time Attendance,Security & Access Control,Door Access System,0.95,"The product description clearly indicates a card reader for time attendance, which falls under door access control systems."
ELE600SL,EM Lock (Electromagnetic) 600lbs E600-SL,Security & Access Control,Door Access System,0.95,An EM Lock is an electromagnetic lock commonly used in door access control systems.
IDCC125K,HID DHC001 Compatible Card (Thick-Clamshell type) 125KHz,Security & Access Control,Door Access System,0.95,"HID cards are used for door access systems, and the description specifies it's a compatible card."
DPKKDP602AM,KOCOM KDP-602AD 1 to 2 Door Phone System,Security & Access Control,Door Access System,0.95,"The product is a door phone system, which falls under door access control."
PSPSB00712VDC5A,PSB007 12VDC 5A Power Supply c/w Battery Charger in Metal Box (with timer card),Security & Access Control,Door Access System,0.95,The power supply with battery charger and timer card suggests it's part of a door access or security system.
SVCDAS01,SVCDAS01,Security & Access Control,Door Access System,0.8,"SVCDAS01 likely refers to a door access system based on the 'DAS' abbreviation, placing it under Security & Access Control."
FEWDA011,Accessories FingerTec Override Key Switch (On Off) WDA011,Security & Access Control,Door Access System,0.95,"The product is an override key switch for FingerTec, which is related to door access control systems."
